IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.207.169,2082,2082,false,HKG,Asia Pacific,Hong Kong,46,7.57
47.243.90.180,8880,8880,false,HKG,Asia Pacific,Hong Kong,37,7.55
8.218.173.78,2096,2096,true,HKG,Asia Pacific,Hong Kong,36,7.54
8.218.222.36,80,80,false,HKG,Asia Pacific,Hong Kong,36,7.53
47.243.206.150,2086,2086,false,HKG,Asia Pacific,Hong Kong,41,7.53
47.242.79.71,2053,2053,true,HKG,Asia Pacific,Hong Kong,46,7.52
8.210.43.213,2087,2087,true,HKG,Asia Pacific,Hong Kong,46,7.50
47.76.225.255,2087,2087,true,HKG,Asia Pacific,Hong Kong,40,7.50
47.243.183.127,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,7.39
8.218.207.169,2095,2095,false,HKG,Asia Pacific,Hong Kong,49,7.32
8.210.66.190,8080,8080,false,HKG,Asia Pacific,Hong Kong,49,7.31
8.210.9.129,2083,2083,true,HKG,Asia Pacific,Hong Kong,47,7.30
8.217.49.34,80,80,false,HKG,Asia Pacific,Hong Kong,39,7.24
8.210.34.188,8080,8080,false,HKG,Asia Pacific,Hong Kong,36,7.23
47.242.176.237,80,80,false,HKG,Asia Pacific,Hong Kong,33,7.19
47.242.79.71,8880,8880,false,HKG,Asia Pacific,Hong Kong,43,7.18
47.76.192.24,2083,2083,true,HKG,Asia Pacific,Hong Kong,39,7.12
47.243.74.220,8443,8443,true,HKG,Asia Pacific,Hong Kong,44,7.09
47.242.155.183,8080,8080,false,HKG,Asia Pacific,Hong Kong,46,7.00
47.242.107.109,2053,2053,true,HKG,Asia Pacific,Hong Kong,45,6.97
47.242.183.7,2053,2053,true,HKG,Asia Pacific,Hong Kong,45,6.94
47.76.227.128,2053,2053,true,HKG,Asia Pacific,Hong Kong,41,6.93
8.210.101.157,8443,8443,true,HKG,Asia Pacific,Hong Kong,37,6.90
8.217.127.73,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,6.88
8.217.207.60,8080,8080,false,HKG,Asia Pacific,Hong Kong,44,6.86
